year,month,day,day_week,close_norm,open_norm,high_norm,low_norm,range_norm
2011,9,15,5,0.019836473,0.021815153,0.02118887,0.01322356,0.329024187
2011,9,16,6,0.006200603,0.018318904,0.009264791,0.021304352,-0.345465955
2011,9,19,2,-0.014063424,-0.008240419,-0.013716035,-0.004619323,-0.431927133
2011,9,20,3,0.023910764,-0.007760481,0.019070087,0.00343081,1.278902954
2011,9,21,4,0.011851988,0.025992377,0.011605652,0.024084939,-0.431031291
2011,9,22,5,-0.041132037,-0.008375175,-0.020751886,-0.032581326,0.734461438
2011,9,23,6,-0.015219629,-0.034593387,-0.022078268,-0.021607638,-0.038836773
2011,9,26,2,0.000938597,-0.004751186,-0.007656591,-0.012800698,0.178801484
2011,9,27,3,0.025089243,0.016465844,0.020464207,0.039549194,-0.558867362
2011,9,28,4,-0.011205879,0.014918716,0.001464576,-0.008322576,0.701576577
2011,9,29,5,0.014849429,-0.020981443,0.001343579,-0.004513705,0.24553276
2011,9,30,6,-0.019174591,0.01402686,-0.005470318,0.00152025,-0.238398866
2011,10,3,2,-0.02982584,-0.027889608,-0.031450914,-0.028044774,-0.180697674
2011,10,4,3,-0.029670473,-0.021167735,-0.009906135,-0.036957555,1.396253193
2011,10,5,4,-0.023790157,-0.02236441,-0.026877269,-0.02172816,-0.134446814
2011,10,6,5,0,0,0,0,0
2011,10,7,6,0.038724099,0.004456513,0.014262995,0.039888946,-0.590803339
2011,10,10,2,0.014455232,0.008968235,0.007763115,0.001376727,0.3909699
2011,10,11,3,0.001063377,0.02332339,0.018752346,0.018390498,0.034383265
2011,10,12,4,0.033082207,-0.002342881,0.016126965,0.004990107,0.489772199
2011,10,13,5,0.011489828,0.038266742,0.017957369,0.038433719,-0.569511624
2011,10,14,6,0.007209696,-0.004768605,0.000702113,-0.002110589,0.195360638
2011,10,17,2,0.006304087,0.017710052,0.009941342,0.014632175,-0.261067314
2011,10,18,3,-0.014133912,-0.00944702,-0.015697472,-0.017938519,0.16208453
2011,10,19,4,0.026862759,0.004929588,0.024007349,0.018966707,0.361935028
2011,10,20,5,-0.009648067,0.00515352,-0.010343762,-0.005649747,-0.245786881
2011,10,21,6,-0.005237831,0.00458199,0.00487003,0.006243275,-0.085940186
2011,10,24,2,-0.004899256,0.00533407,0.010727372,-0.007403083,1.330575404
2011,10,25,3,-0.014122317,-0.011166556,-0.010033681,-0.029536524,0.594642569
2011,10,26,4,0.003679717,-0.013934304,-0.021370873,0.021527405,-0.830803481
2011,10,27,5,0,0,0,0,0
2011,10,28,6,0.038804391,0.027510431,0.033838852,0.032933629,0.136961722
2011,10,31,2,0.007320725,0.009559918,0.014865491,-0.001072443,1.664387165
2011,11,1,3,-0.016757344,-0.003383004,-0.009494001,-0.004487727,-0.203751234
2011,11,2,4,-0.004194558,-0.01609351,-0.009579993,-0.00571928,-0.196875775
2011,11,3,5,0.000148246,0.000487725,-0.007488345,-0.008029403,0.025007718
2011,11,4,6,0.005504728,0.014783684,0.010132812,0.016525628,-0.361445783
2011,11,7,2,0,0,0,0,0
2011,11,8,3,0.001646952,-0.003231222,-0.002032459,-0.00767223,0.519811321
2011,11,9,4,-0.026378958,0.004078754,0.000222358,-0.017235445,1.054934823
2011,11,10,5,0,0,0,0,0
2011,11,11,6,-0.031284369,-0.034675101,-0.03277032,-0.030815151,-0.089261441
2011,11,14,2,-0.00188861,-0.014304407,-0.011857687,-0.001731326,-0.323217247
2011,11,15,3,-0.020409704,-0.017161639,-0.015843144,-0.020736306,0.206076942
2011,11,16,4,-0.002658023,-0.02151868,-0.017494763,-0.011624956,-0.23364486
2011,11,17,5,-0.014418063,-0.000695702,-0.002268838,-0.00640836,0.194326617
2011,11,18,6,-0.009030445,-0.0200568,-0.027644139,-0.021759283,-0.260155383
2011,11,21,2,-0.033456682,-0.006890097,-0.007432954,-0.021100391,0.706570657
2011,11,22,3,0.006727729,-0.023033599,-0.012320165,0.002552128,-0.457981716
2011,11,23,4,-0.02466412,-0.005514973,-0.016302223,-0.0355335,1.049626987
2011,11,24,5,0.008715012,-0.016811977,-0.006077322,0.004405099,-0.2794746
2011,11,25,6,0.001900266,0.003049016,0.006373172,0.010124747,-0.13002416
2011,11,28,2,0.03587753,0.019020644,0.029368121,0.028484968,0.066649836
2011,11,29,3,-0.019247937,0.026265598,0.003853597,-0.001308337,0.213964497
2011,11,30,4,-0.006934218,-0.033486127,-0.015807506,-0.011307198,-0.166504192
2011,12,1,5,0.038673065,0.040303434,0.037884445,0.039003104,-0.006549708
2011,12,2,6,0.031190629,0.00578735,0.018463889,0.004324661,0.605839416
2011,12,5,2,0.000109019,0.025856804,0.001603148,0.024171384,-0.584750733
